Ticker,Maturity,Yield,T,Df,Tenor
US01M,2025-03-25,4.321,0.07945205479452055,0.9966446215146798,0.08333333333333333
US02M,2025-04-22,4.322,0.15616438356164383,0.9934141419714985,0.16666666666666666
US03M,2025-05-22,4.307,0.23835616438356164,0.9899992718557035,0.25
US04M,2025-06-24,4.321,0.3287671232876712,0.9861885942740293,0.3333333333333333
US06M,2025-08-21,4.338,0.4876712328767123,0.9795037872439868,0.5
US01Y,2026-02-19,4.168,0.9863013698630136,0.9605248610209627,1.0
US02Y,2027-01-31,4.198,1.9342465753424658,0.9235396581227312,2.0
US03Y,2028-02-15,4.207,2.9753424657534246,0.8846074926752294,3.0
US05Y,2030-01-31,4.269,4.936986301369863,0.8135195324078617,5.0
US07Y,2032-01-31,4.355,6.936986301369863,0.7440013991077147,7.0
US10Y,2035-02-15,4.431,9.98082191780822,0.6487341280238352,10.0
US20Y,2045-02-15,4.711,19.98904109589041,0.39844919201016354,20.0
US30Y,2055-02-15,4.68,29.994520547945207,0.2536281320864731,30.0
CA01M,2025-03-12,2.97,0.043835616438356165,0.9987178638373665,0.08333333333333333
CA02M,2025-04-09,2.92,0.12054794520547946,0.9965364250407643,0.16666666666666666
CA03M,2025-05-22,2.875,0.23835616438356164,0.9932666911299065,0.25
CA06M,2025-07-30,2.855,0.4273972602739726,0.9880408346877501,0.5
CA01Y,2026-01-28,2.815,0.9260273972602739,0.9746201124899189,1.0
CA02Y,2027-02-01,2.733,1.936986301369863,0.9491130557894659,2.0
CA03Y,2027-09-01,2.734,2.5178082191780824,0.9343420532724981,3.0
CA04Y,2028-09-01,2.766,3.5205479452054793,0.9084131949275002,4.0
CA05Y,2029-09-01,2.814,4.52054794520548,0.8820987361473479,5.0
CA07Y,2032-06-01,2.998,7.271232876712329,0.8067126513679298,7.0
CA10Y,2034-12-01,3.108,9.772602739726027,0.7414792777122522,10.0
CA20Y,2041-06-01,3.239,16.276712328767122,0.5952078161145381,20.0
CA30Y,2055-12-01,3.297,30.786301369863015,0.36837619168108965,30.0
GB01M,2025-03-17,4.546,0.057534246575342465,0.997445469533902,0.08333333333333333
GB03M,2025-05-19,4.482,0.23013698630136986,0.9899604668543789,0.25
GB06M,2025-08-18,4.471,0.4794520547945205,0.9792474465337059,0.5
GB01Y,2025-10-22,4.345,0.6575342465753424,0.9724208494510446,1.0
GB02Y,2027-01-29,4.223,1.9287671232876713,0.9233204549704858,2.0
GB03Y,2027-12-07,4.008,2.7835616438356166,0.8963831051585004,3.0
GB04Y,2029-01-31,4.069,3.936986301369863,0.8546847570041328,4.0
GB05Y,2029-07-22,4.243,4.4082191780821915,0.8326170560652765,5.0
GB06Y,2030-12-07,4.225,5.786301369863014,0.7870623690244138,6.0
GB07Y,2031-10-22,4.371,6.66027397260274,0.7520611334757689,7.0
GB08Y,2033-01-31,4.464,7.93972602739726,0.7069846513132219,8.0
GB09Y,2034-01-31,4.534,8.93972602739726,0.6727328096037873,9.0
GB10Y,2034-07-31,4.562,9.435616438356165,0.656440676680467,10.0
GB12Y,2036-03-07,4.663,11.038356164383561,0.6046664064874886,12.0
GB15Y,2039-09-07,4.867,14.542465753424658,0.5010260622622127,15.0
GB20Y,2045-01-22,5.079,19.923287671232877,0.3726764201293433,20.0
GB25Y,2049-12-07,5.128,24.8,0.2893234420722522,25.0
GB30Y,2054-07-31,5.156,29.44931506849315,0.2275107668949638,30.0
GB40Y,2063-10-22,5.09,38.68219178082192,0.14654064479457551,40.0
GB50Y,2073-10-22,4.405,48.69041095890411,0.12258923099177874,50.0
DE01M,2025-03-19,2.424,0.06301369863013699,0.9984919051536584,0.08333333333333333
DE03M,2025-04-16,2.249,0.13972602739726028,0.9968972009881047,0.25
