Ticker,Country,Currency,Tenor
AU01Y,Australia,AUD,1
AU02Y,Australia,AUD,2
AU03Y,Australia,AUD,3
AU05Y,Australia,AUD,5
AU07Y,Australia,AUD,7
AU10Y,Australia,AUD,10
AU15Y,Australia,AUD,15
AU20Y,Australia,AUD,20
AU30Y,Australia,AUD,30
BE01Y,Belgium,,1
BE02Y,Belgium,,2
BE03Y,Belgium,,3
BE05Y,Belgium,,5
BE07Y,Belgium,,7
BE10Y,Belgium,,10
BE15Y,Belgium,,15
BE20Y,Belgium,,20
BE30Y,Belgium,,30
BR01Y,Brazil,BRL,1
BR03Y,Brazil,BRL,3
BR05Y,Brazil,BRL,5
BR10Y,Brazil,BRL,10
CA03M,Canada,CAD,3
CA06M,Canada,CAD,6
CA01Y,Canada,CAD,1
CA02Y,Canada,CAD,2
CA03Y,Canada,CAD,3
CA05Y,Canada,CAD,5
CA10Y,Canada,CAD,10
CA30Y,Canada,CAD,30
CN01Y,China,CNY,1
CN02Y,China,CNY,2
CN03Y,China,CNY,3
CN05Y,China,CNY,5
CN07Y,China,CNY,7
CN10Y,China,CNY,10
CN15Y,China,CNY,15
CN20Y,China,CNY,20
CN30Y,China,CNY,30
DK02Y,Denmark,,2
DK03Y,Denmark,,3
DK05Y,Denmark,,5
DK10Y,Denmark,,10
DK20Y,Denmark,,20
FR01Y,France,,1
FR02Y,France,,2
FR03Y,France,,3
FR05Y,France,,5
FR07Y,France,,7
FR10Y,France,,10
FR15Y,France,,15
FR20Y,France,,20
FR25Y,France,,25
FR30Y,France,,30
FR50Y,France,,50
DE01Y,Germany,,1
DE02Y,Germany,,2
DE03Y,Germany,,3
DE05Y,Germany,,5
DE07Y,Germany,,7
DE10Y,Germany,,10
DE15Y,Germany,,15
DE20Y,Germany,,20
DE25Y,Germany,,25
DE30Y,Germany,,30
GR05Y,Greece,,5
GR10Y,Greece,,10
GR15Y,Greece,,15
GR20Y,Greece,,20
HK01Y,HongKong,,1
HK02Y,HongKong,,2
HK03Y,HongKong,,3
HK05Y,HongKong,,5
HK07Y,HongKong,,7
HK10Y,HongKong,,10
IN01Y,India,INR,1
IN02Y,India,INR,2
IN05Y,India,INR,5
IN07Y,India,INR,7
IN10Y,India,INR,10
ID01Y,Indonesia,IDR,1
ID03Y,Indonesia,IDR,3
ID05Y,Indonesia,IDR,5
ID10Y,Indonesia,IDR,10
ID15Y,Indonesia,IDR,15
ID20Y,Indonesia,IDR,20
ID25Y,Indonesia,IDR,25
